   9.999999776482582E-003   9.999833110660423E-003  -6.017819556807542E-001
   1.999999955296516E-002   1.999866624638765E-002  -5.740584458375333E-001
   2.999999932944775E-002   2.999549953224513E-002  -5.467574136095084E-001
   3.999999910593033E-002   3.998933329327965E-002  -5.198716739821465E-001
   4.999999888241291E-002   4.997916815448793E-002  -4.933941711030634E-001
   5.999999865889549E-002   5.996400514075335E-002  -4.673179765556297E-001
   6.999999843537807E-002   6.994284577674259E-002  -4.416362876510692E-001
   7.999999821186066E-002   7.991469218675235E-002  -4.163424257338944E-001
   8.999999798834324E-002   8.987854719449601E-002  -3.914298345035963E-001
   9.999999776482582E-002   9.983341442282054E-002  -3.668920783510385E-001
   1.099999975413084E-001   1.097782983933433E-001  -3.427228407103595E-001
   1.199999973177910E-001   1.197122046259991E-001  -3.189159224256067E-001
   1.299999970942736E-001   1.296341397384873E-001  -2.954652401322521E-001
   1.399999968707561E-001   1.395431115456092E-001  -2.723648246541029E-001
   1.499999966472387E-001   1.494381291584858E-001  -2.496088194139344E-001
   1.599999964237213E-001   1.593182030836461E-001  -2.271914788600273E-001
   1.699999962002039E-001   1.691823453219748E-001  -2.051071669061861E-001
   1.799999959766865E-001   1.790295694675126E-001  -1.833503553870610E-001
   1.899999957531691E-001   1.888588908060946E-001  -1.619156225272561E-001
   1.999999955296516E-001   1.986693264138222E-001  -1.407976514252527E-001
   2.099999953061342E-001   2.084598952553537E-001  -1.199912285512450E-001
   2.199999950826168E-001   2.182296182820076E-001  -9.949124225920836E-002
   2.299999948590994E-001   2.279775185296662E-001  -7.929268131328499E-002
   2.399999946355820E-001   2.377026212164716E-001  -5.939063342764228E-002
   2.499999944120646E-001   2.474039538403029E-001  -3.978028382061433E-002
   2.599999941885471E-001   2.570805462760253E-001  -2.045691378266321E-002
   2.699999939650297E-001   2.667314308725024E-001  -1.415899257661335E-003
   2.799999937415123E-001   2.763556425493601E-001   1.734729056147313E-002
   2.899999935179949E-001   2.859522188934938E-001   3.583709462448748E-002
   2.999999932944775E-001   2.955202002553092E-001   5.405786140109234E-002
   3.099999930709600E-001   3.050586298446861E-001   7.201385024554782E-002
   3.199999928474426E-001   3.145665538266570E-001   8.970923274778753E-002
   3.299999926239252E-001   3.240430214167893E-001   1.071480940710034E-001
   3.399999924004078E-001   3.334870849762634E-001   1.243344342764481E-001
   3.499999921768904E-001   3.428978001066356E-001   1.412721696349750E-001
   3.599999919533730E-001   3.522742257442772E-001   1.579651339257445E-001
   3.699999917298555E-001   3.616154242544801E-001   1.744170797217565E-001
   3.799999915063381E-001   3.709204615252192E-001   1.906316796629775E-001
   3.899999912828207E-001   3.801884070605633E-001   2.066125277162282E-001
   3.999999910593033E-001   3.894183340737234E-001   2.223631404228382E-001
   4.099999908357859E-001   3.986093195797313E-001   2.378869581334383E-001
   4.199999906122684E-001   4.077604444877363E-001   2.531873462304418E-001
   4.299999903887510E-001   4.168707936929146E-001   2.682675963378653E-001
   4.399999901652336E-001   4.259394561679783E-001   2.831309275191389E-001
   4.499999899417162E-001   4.349655250542777E-001   2.977804874622672E-001
   4.599999897181988E-001   4.439480977524861E-001   3.122193536531140E-001
   4.699999894946814E-001   4.528862760128593E-001   3.264505345364248E-001
   4.799999892711639E-001   4.617791660250598E-001   3.404769706647964E-001
   4.899999890476465E-001   4.706258785075367E-001   3.543015358357731E-001
   4.999999888241291E-001   4.794255287964536E-001   3.679270382170244E-001
   5.099999886006117E-001   4.881772369341539E-001   3.813562214597513E-001
   5.199999883770943E-001   4.968801277571562E-001   3.945917658002666E-001
   5.299999881535769E-001   5.055333309836693E-001   4.076362891500560E-001
   5.399999879300594E-001   5.141359813006202E-001   4.204923481741834E-001
   5.499999877065420E-001   5.226872184501847E-001   4.331624393582548E-001
   5.599999874830246E-001   5.311861873158120E-001   4.456490000638492E-001
   5.699999872595072E-001   5.396320380077358E-001   4.579544095727669E-001
   5.799999870359898E-001   5.480239259479631E-001   4.700809901198665E-001
   5.899999868124723E-001   5.563610119547305E-001   4.820310079148085E-001
   5.999999865889549E-001   5.646424623264221E-001   4.938066741525182E-001
   6.099999863654375E-001   5.728674489249391E-001   5.054101460128211E-001
   6.199999861419201E-001   5.810351492585123E-001   5.168435276489242E-001
   6.299999859184027E-001   5.891447465639514E-001   5.281088711650550E-001
   6.399999856948853E-001   5.971954298883201E-001   5.392081775832640E-001
   6.499999854713678E-001   6.051863941700308E-001   5.501433977995293E-001
   6.599999852478504E-001   6.131168403193502E-001   5.609164335290521E-001
   6.699999850243330E-001   6.209859752983073E-001   5.715291382410707E-001
   6.799999848008156E-001   6.287930121999973E-001   5.819833180830447E-001
   6.899999845772982E-001   6.365371703272705E-001   5.922807327944205E-001
   6.999999843537807E-001   6.442176752708024E-001   6.024230966099572E-001
   7.099999841302633E-001   6.518337589865333E-001   6.124120791528088E-001
   7.199999839067459E-001   6.593846598724724E-001   6.222493063172216E-001
   7.299999836832285E-001   6.668696228448573E-001   6.319363611411927E-001
   7.399999834597111E-001   6.742878994136616E-001   6.414747846688726E-001
   7.499999832361937E-001   6.816387477574436E-001   6.508660768030793E-001
   7.599999830126762E-001   6.889214327975273E-001   6.601116971476740E-001
   7.699999827891588E-001   6.961352262715101E-001   6.692130658401700E-001
   7.799999825656414E-001   7.032794068060885E-001   6.781715643744198E-001
   7.899999823421240E-001   7.103532599891944E-001   6.869885364135845E-001
   7.999999821186066E-001   7.173560784414359E-001   6.956652885933683E-001
   8.099999818950891E-001   7.242871618868347E-001   7.042030913156612E-001
